perSquarePrice,square,orientation,houseUrl,floor,houseType,xiaoqu,totalPrice,buildInfo,houseArea
47507,119.56平,朝南北,http://sh.lianjia.com/ershoufang/sh4516310.html,中区/6层,3室2厅,浦发绿城,568万,2004年建,浦东三林
84797,81.37平,朝南,http://sh.lianjia.com/ershoufang/sh4511832.html,高区/18层,2室1厅,建工天峰公寓,690万,1996年建,虹口曲阳
79669,70.29平,朝南北,http://sh.lianjia.com/ershoufang/sh4507897.html,高区/6层,2室2厅,幸福老公寓,560万,1936年建,静安静安寺
69471,51.82平,朝南,http://sh.lianjia.com/ershoufang/sh4506661.html,高区/6层,2室1厅,瑞冬小区,360万,1994年建,长宁北新泾
69165,49.88平,朝南,http://sh.lianjia.com/ershoufang/sh4505360.html,低区/6层,2室0厅,田林八村,345万,1986年建,徐汇田林
81990,107.33平,朝东南,http://sh.lianjia.com/ershoufang/sh4488370.html,低区/24层,2室2厅,桃林小区,880万,1997年建,浦东源深
51035,66.62平,朝南,http://sh.lianjia.com/ershoufang/sh4487435.html,中区/6层,2室1厅,东二小区,340万,1996年建,浦东金桥
65725,82.16平,朝东南,http://sh.lianjia.com/ershoufang/sh4484889.html,低区/22层,2室1厅,住友公寓,540万,1997年建,徐汇万体馆
77021,116.85平,朝西南,http://sh.lianjia.com/ershoufang/sh4482028.html,高区/18层,2室2厅,日高公寓,900万,1999年建,普陀长寿路
57189,110.16平,朝南,http://sh.lianjia.com/ershoufang/sh4478810.html,高区/12层,2室2厅,淞虹公寓,630万,2000年建,长宁北新泾
68986,33.34平,朝南,http://sh.lianjia.com/ershoufang/sh4476781.html,中区/4层,1室0厅,德州二村,230万,1984年建,浦东世博
61110,94.91平,朝南,http://sh.lianjia.com/ershoufang/sh4460739.html,中区/6层,4室1厅,古美十村,580万,1998年建,闵行古美
78312,108.54平,朝南北,http://sh.lianjia.com/ershoufang/sh4453781.html,中区/24层,2室2厅,科乐苑,850万,1998年建,徐汇徐家汇
64587,54.19平,朝南北,http://sh.lianjia.com/ershoufang/sh4452396.html,中区/6层,2室1厅,延吉七村,350万,1986年建,杨浦黄兴公园
70824,247.09平,朝南北,http://sh.lianjia.com/ershoufang/sh4438754.html,低区/26层,5室2厅,东方莱茵,1750万,2003年建,闸北不夜城
71349,81.29平,朝南,http://sh.lianjia.com/ershoufang/sh4437962.html,低区/6层,2室2厅,新江湾时代花园,580万,2000年建,杨浦新江湾城
91242,133.71平,朝南,http://sh.lianjia.com/ershoufang/sh4437001.html,高区/15层,3室2厅,大上海城市花园,1220万,2004年建,普陀长寿路
80352,115.74平,朝南北,http://sh.lianjia.com/ershoufang/sh4429161.html,低区/14层,3室2厅,新梅共和城,930万,2004年建,闸北大宁
62418,107.02平,朝南北,http://sh.lianjia.com/ershoufang/sh4395372.html,高区/6层,2室2厅,乐业公寓,668万,1999年建,闸北闸北公园
58315,46.3平,朝南,http://sh.lianjia.com/ershoufang/sh4559725.html,低区/6层,1室1厅,东陆新村六街坊,270万,1995年建,浦东金桥
66123,40.53平,朝南,http://sh.lianjia.com/ershoufang/sh4549676.html,中区/5层,1室1厅,虹延小区,268万,1995年建,长宁西郊
57191,153.87平,朝北,http://sh.lianjia.com/ershoufang/sh4541274.html,中区/13层,2室2厅,龙柏花苑（公寓）,880万,1998年建,长宁西郊
52861,38.97平,朝南,http://sh.lianjia.com/ershoufang/sh4536515.html,高区/6层,1室1厅,通河一村,206万,1986年建,宝山张庙
47545,38.91平,朝南,http://sh.lianjia.com/ershoufang/sh4504639.html,中区/6层,1室1厅,长江路20弄,185万,1992年建,宝山淞南
75007,70.66平,朝东南,http://sh.lianjia.com/ershoufang/sh4525964.html,高区/29层,2室0厅,番禺大厦,530万,1999年建,长宁新华路
50830,99.35平,朝南北,http://sh.lianjia.com/ershoufang/sh4500382.html,高区/6层,2室2厅,龙柏公寓,505万,1995年建,闵行龙柏
52830,66.25平,朝南北,http://sh.lianjia.com/ershoufang/sh4468448.html,高区/6层,2室1厅,翠竹苑,350万,1997年建,浦东三林
59347,40.44平,,http://sh.lianjia.com/ershoufang/sh4572620.html,中区/6层,1室1厅,国和一村,240万,1993年建,杨浦中原
64960,103.14平,朝南,http://sh.lianjia.com/ershoufang/sh4572379.html,中区/6层,2室1厅,九州花苑,670万,1995年建,杨浦黄兴公园
67732,36.91平,朝南,http://sh.lianjia.com/ershoufang/sh4572051.html,中区/6层,1室0厅,密二小区,250万,1983年建,虹口曲阳
63499,88.19平,朝南北,http://sh.lianjia.com/ershoufang/sh4567351.html,高区/6层,2室2厅,鑫都佳园,560万,2001年建,普陀万里
68102,126.28平,朝南北,http://sh.lianjia.com/ershoufang/sh4565417.html,高区/9层,3室2厅,阳光欧洲公寓,860万,1999年建,杨浦中原
46280,58.34平,朝南,http://sh.lianjia.com/ershoufang/sh4565268.html,高区/6层,2室1厅,富特五村,270万,1993年建,浦东外高桥
67630,75.41平,朝东南,http://sh.lianjia.com/ershoufang/sh4564173.html,高区/18层,3室0厅,云舫小区,510万,1989年建,虹口北外滩
64917,36.97平,朝南,http://sh.lianjia.com/ershoufang/sh4563816.html,中区/7层,1室1厅,曹杨六村（沙溪园）,240万,1988年建,普陀曹杨
81014,28.39平,朝南,http://sh.lianjia.com/ershoufang/sh4384694.html,高区/4层,1室0厅,天山五村（旧）,230万,1958年建,长宁天山
68645,99.06平,朝南北,http://sh.lianjia.com/ershoufang/sh4381650.html,低区/14层,2室2厅,凤六新苑,680万,2001年建,杨浦控江路
53176,55.1平,朝南北,http://sh.lianjia.com/ershoufang/sh4371772.html,中区/6层,2室0厅,康平小区,293万,1986年建,闸北彭浦
59894,43.41平,朝南北,http://sh.lianjia.com/ershoufang/sh4365903.html,高区/5层,2室1厅,控江七村,260万,1979年建,杨浦控江路
66476,136.89平,朝南,http://sh.lianjia.com/ershoufang/sh4359635.html,低区/18层,3室2厅,海联花苑,910万,2002年建,闵行金虹桥
70615,76.47平,朝南北,http://sh.lianjia.com/ershoufang/sh4325011.html,中区/4层,2室2厅,黄山始信苑,540万,1999年建,浦东金杨
108019,60.73平,朝东,http://sh.lianjia.com/ershoufang/sh4266529.html,低区/7层,1室0厅,永业大楼,656万,1935年建,黄浦淮海中路
59810,76.91平,朝西南,http://sh.lianjia.com/ershoufang/sh4207287.html,高区/22层,2室2厅,西部大楼,460万,1997年建,普陀甘泉宜川
67647,34.0平,朝南,http://sh.lianjia.com/ershoufang/sh4203078.html,低区/6层,1室0厅,广中五村,230万,1978年建,虹口凉城
79950,40.65平,朝南,http://sh.lianjia.com/ershoufang/sh3792664.html,高区/7层,2室1厅,斜土路486弄,325万,1984年建,黄浦五里桥
78646,62.05平,朝南,http://sh.lianjia.com/ershoufang/sh1850194.html,中区/5层,3室0厅,零陵路190弄,488万,1981年建,徐汇斜土路
56352,47.38平,朝南,http://sh.lianjia.com/ershoufang/sh4684649.html,高区/6层,2室1厅,隆昌路702弄,267万,1979年建,杨浦周家嘴路
39069,94.19平,朝南北,http://sh.lianjia.com/ershoufang/sh4553167.html,中区/6层,3室2厅,新城金郡,368万,2013年建,嘉定嘉定新城
132258,193.56平,朝南北,http://sh.lianjia.com/ershoufang/sh4267155.html,低区/31层,3室2厅,翠湖天地御苑,2560万,2006年建,黄浦新天地
67692,107.84平,朝南北,http://sh.lianjia.com/ershoufang/sh4691761.html,低区/18层,2室2厅,金沙雅苑（四期）,730万,2006年建,普陀长征
74455,100.06平,朝南北,http://sh.lianjia.com/ershoufang/sh4689561.html,低区/6层,2室2厅,宛平南路493弄,745万,1994年建,徐汇徐家汇
62088,53.15平,朝南,http://sh.lianjia.com/ershoufang/sh4687910.html,高区/5层,2室1厅,德州二村,330万,1985年建,浦东世博
58502,64.1平,朝南,http://sh.lianjia.com/ershoufang/sh4603043.html,低区/6层,2室1厅,龙柏三村,375万,1995年建,闵行龙柏
76240,144.28平,朝南北,http://sh.lianjia.com/ershoufang/sh4238904.html,低区/23层,3室2厅,越富豪庭,1100万,2006年建,浦东塘桥
98635,248.39平,朝南北,http://sh.lianjia.com/ershoufang/sh4197220.html,高区/16层,5室3厅,浦东世纪花园（公寓）,2450万,2002年建,浦东花木
50030,65.96平,朝南,http://sh.lianjia.com/ershoufang/sh4572403.html,中区/6层,2室1厅,丰庄四村,330万,1996年建,嘉定丰庄
48303,46.58平,朝南,http://sh.lianjia.com/ershoufang/sh4691570.html,高区/6层,2室1厅,鹤北新村,225万,1993年建,闵行老闵行
44784,88.2平,朝南北,http://sh.lianjia.com/ershoufang/sh4678821.html,高区/6层,3室1厅,荣顺苑,395万,2003年建,闵行颛桥
82422,57.63平,朝南,http://sh.lianjia.com/ershoufang/sh4669593.html,中区/16层,1室1厅,万邦都市花园,475万,2004年建,浦东北蔡
57599,98.96平,朝南北,http://sh.lianjia.com/ershoufang/sh4659572.html,高区/6层,3室2厅,翔川家园,570万,2008年建,浦东川沙
109901,200.18平,朝西南,http://sh.lianjia.com/ershoufang/sh4653670.html,低区/35层,3室2厅,财富海景花园,2200万,2006年建,浦东陆家嘴
51210,42.96平,朝南,http://sh.lianjia.com/ershoufang/sh4648715.html,低区/6层,1室1厅,通河四村,220万,1992年建,宝山通河
85755,34.4平,朝南,http://sh.lianjia.com/ershoufang/sh4645887.html,中区/7层,1室0厅,北蒙三小区,295万,1989年建,黄浦五里桥
102702,55.5平,朝南,http://sh.lianjia.com/ershoufang/sh4643492.html,中区/22层,1室1厅,君悦静安,570万,2004年建,静安曹家渡
100917,196.2平,朝东北,http://sh.lianjia.com/ershoufang/sh4634882.html,高区/28层,4室2厅,云海苑,1980万,2003年建,静安南京西路
54710,37.47平,朝南,http://sh.lianjia.com/ershoufang/sh4626441.html,中区/6层,1室1厅,银都一村（闸北）,205万,1995年建,闸北彭浦
70314,51.91平,朝南,http://sh.lianjia.com/ershoufang/sh4626376.html,中区/6层,2室1厅,虹纺小区,365万,1988年建,长宁虹桥
56256,36.44平,朝南,http://sh.lianjia.com/ershoufang/sh4625890.html,低区/6层,1室0厅,市光三村,205万,1993年建,杨浦中原
87359,46.36平,朝南,http://sh.lianjia.com/ershoufang/sh4616708.html,高区/6层,2室0厅,潍坊七村,405万,1983年建,浦东潍坊
53556,36.41平,朝北,http://sh.lianjia.com/ershoufang/sh4613133.html,中区/5层,1室1厅,控江二村107弄小区,195万,1996年建,杨浦黄兴公园
76480,189.59平,朝南北,http://sh.lianjia.com/ershoufang/sh4568044.html,低区/30层,4室2厅,申亚新华府,1450万,2002年建,长宁新华路
72575,45.47平,朝西南,http://sh.lianjia.com/ershoufang/sh4565795.html,中区/17层,1室1厅,白玉大楼,330万,1990年建,普陀武宁
41780,138.82平,朝南北,http://sh.lianjia.com/ershoufang/sh4565761.html,中区/6层,3室2厅,妙城公寓,580万,2000年建,浦东川沙
66373,54.54平,朝南北,http://sh.lianjia.com/ershoufang/sh4565570.html,高区/6层,2室1厅,花苑村丁香园,362万,1992年建,徐汇康健
76876,49.43平,朝南,http://sh.lianjia.com/ershoufang/sh4565315.html,中区/6层,1室1厅,锦馨苑,380万,1997年建,徐汇田林
56036,41.58平,,http://sh.lianjia.com/ershoufang/sh4564920.html,中区/6层,1室1厅,开鲁六村,233万,1989年建,杨浦中原
74850,46.76平,朝南,http://sh.lianjia.com/ershoufang/sh4564112.html,低区/6层,1室1厅,田渡小区,350万,1996年建,长宁新华路
82179,46.24平,朝南北,http://sh.lianjia.com/ershoufang/sh4563988.html,低区/6层,2室1厅,大木小区,380万,1982年建,徐汇斜土路
76945,136.46平,朝南北,http://sh.lianjia.com/ershoufang/sh4563354.html,高区/11层,3室2厅,碧云新天地（一期）,1050万,2002年建,浦东金桥
58578,52.92平,朝南北,http://sh.lianjia.com/ershoufang/sh4562533.html,高区/6层,2室1厅,长海二村,310万,1994年建,杨浦中原
65116,86.0平,朝南北,http://sh.lianjia.com/ershoufang/sh4561394.html,高区/6层,2室2厅,蓝色港湾（公寓）,560万,2004年建,闵行古美
65097,39.94平,朝南,http://sh.lianjia.com/ershoufang/sh4560186.html,中区/6层,1室1厅,长风一村小区,260万,1980年建,普陀长风
68834,42.13平,朝南北,http://sh.lianjia.com/ershoufang/sh4560172.html,中区/5层,1室1厅,铁岭大楼,290万,1978年建,杨浦鞍山
67581,48.09平,朝南,http://sh.lianjia.com/ershoufang/sh4559727.html,中区/6层,1室1厅,新泾六村,325万,1997年建,长宁北新泾
50548,74.78平,朝南,http://sh.lianjia.com/ershoufang/sh4558293.html,高区/7层,2室2厅,万科城市花园,378万,1994年建,闵行七宝
71836,47.33平,朝南,http://sh.lianjia.com/ershoufang/sh4558068.html,高区/6层,2室0厅,玉屏南路520弄,340万,1987年建,长宁中山公园
50622,120.5平,朝南北,http://sh.lianjia.com/ershoufang/sh4557561.html,低区/5层,3室2厅,奥林匹克花园,610万,2002年建,松江九亭
45144,99.68平,朝南北,http://sh.lianjia.com/ershoufang/sh4534768.html,高区/6层,2室2厅,学林苑,450万,2004年建,宝山上大
